c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
72,71,28,94,72,49,17,90,99,93
3,58,88,38,87,67,37,19,99,12
61,26,89,35,40,32,5,41,90,50
57,80,21,65,10,77,70,11,78,55
83,35,28,13,28,26,35,38,88,26
42,19,55,81,11,55,53,87,69,39
87,81,11,31,89,90,83,22,23,9
83,43,67,37,94,87,68,60,31,66
88,99,37,52,14,86,92,6,90,54
8,29,38,36,60,19,7,17,62,9
17,11,75,18,56,21,89,42,52,53
52,48,2,47,88,15,60,46,65,33
7,51,24,19,8,18,4,41,84,82
86,74,17,65,82,69,25,77,81,72
20,33,54,79,87,69,58,16,27,44
11,54,1,0,78,87,55,35,47,38
42,10,30,44,58,76,13,42,99,70
68,83,7,86,69,38,67,73,99,84
74,36,72,3,80,46,60,91,61,43
92,98,94,16,73,15,3,68,17,92
87,18,1,2,84,40,70,28,86,56
26,31,56,85,66,23,68,39,60,5
5,18,97,82,92,77,79,62,73,83
52,21,34,8,70,48,19,85,66,76
16,48,20,86,97,62,53,91,99,37
54,79,50,46,18,19,86,16,47,9
46,47,67,0,36,45,36,43,2,70
34,50,68,36,82,14,11,85,90,94
52,87,80,7,33,58,56,3,89,43
70,58,47,20,74,7,50,32,57,16
22,94,28,95,61,8,37,62,24,81
80,35,53,69,76,43,16,34,26,43
88,67,99,34,70,82,2,15,24,40
24,73,25,68,28,92,17,85,12,97
26,91,24,99,79,45,4,94,64,80
44,14,38,42,41,45,12,66,77,41
69,99,76,83,34,76,53,58,57,19
45,61,44,49,86,48,82,4,85,31
79,30,97,44,59,97,18,52,80,81
54,16,37,76,83,58,64,56,21,98
93,76,4,52,47,50,66,55,30,5
74,64,52,52,64,7,37,13,25,46
3,71,94,78,66,26,83,5,38,20
42,23,81,52,15,76,11,61,41,33
87,93,60,93,64,7,0,41,77,20
26,59,47,80,97,4,63,81,0,24
40,13,34,55,42,16,54,51,95,50
90,1,99,45,85,66,94,45,88,23
92,18,10,36,12,37,31,8,73,63
69,65,90,38,28,4,51,88,19,79
41,17,93,23,88,23,91,97,89,86
55,14,72,12,26,15,99,28,96,99
59,67,75,73,52,93,79,89,98,12
19,66,61,77,12,14,55,61,33,22
80,64,87,96,46,22,11,95,27,63
15,90,90,40,53,45,36,14,93,1
5,82,7,31,85,36,42,30,0,94
12,34,53,63,13,41,44,47,10,3
76,26,26,47,95,6,26,12,60,1
73,98,30,58,51,73,59,93,1,40
55,97,49,35,52,78,24,74,9,49
9,13,46,93,8,0,60,39,46,70
22,75,96,50,76,34,93,17,20,17
3,7,8,68,34,19,70,24,17,71
41,64,26,58,7,36,81,4,4,8
82,79,36,37,40,35,49,75,83,15
0,30,71,48,72,99,53,65,36,70
84,82,18,60,23,25,89,3,35,45
82,30,98,43,6,58,78,51,31,17
57,24,0,55,41,59,60,48,59,25
6,83,71,28,0,46,48,89,6,64
13,25,42,2,90,47,96,77,23,32
26,50,33,52,32,32,30,27,20,77
64,58,23,76,53,62,20,0,99,55
63,27,47,18,93,17,76,81,17,35
47,48,89,78,28,62,20,38,39,70
86,39,97,42,73,76,9,3,98,89
28,51,30,54,41,8,45,71,0,46
38,15,98,19,30,14,98,16,92,83
94,27,91,68,59,31,65,22,0,35
11,53,21,95,76,12,30,39,90,86
80,11,33,98,3,38,52,65,90,59
49,38,7,46,79,21,65,55,15,34
55,71,39,30,22,62,42,82,47,77
28,21,84,36,65,23,49,18,55,21
53,21,8,17,14,41,95,1,53,41
82,20,44,48,95,12,29,16,40,67
20,56,17,16,20,93,29,77,6,38
73,87,12,28,81,89,47,31,49,27
55,17,61,1,44,41,70,11,24,28
7,81,5,82,73,90,13,19,66,67
45,72,97,71,97,1,98,93,60,4
77,87,96,56,16,41,85,76,48,41
40,95,93,60,79,94,75,32,22,96
71,90,86,91,71,63,39,1,62,31
45,74,51,52,88,1,9,80,41,44
8,93,54,88,11,70,89,82,25,8
48,86,24,37,57,38,95,42,57,89
34,97,36,72,61,81,23,41,23,7
49,97,76,21,83,90,70,95,35,20
21,50,64,8,57,44,83,73,36,58
39,98,73,68,74,49,46,48,19,95
63,90,28,25,15,91,23,77,46,33
34,70,96,1,41,81,41,64,90,89
42,71,44,58,76,64,1,94,11,63
53,51,4,73,36,32,27,62,77,0
47,36,21,41,66,82,42,61,45,98
73,40,18,74,76,57,12,10,53,88
78,56,77,38,79,93,12,55,98,64
78,80,82,37,57,59,95,3,28,61
3,47,13,6,95,56,31,56,40,57
64,78,38,70,13,16,9,92,37,6
70,50,67,50,20,86,56,51,56,60
26,34,35,62,60,11,98,36,70,89
83,69,9,87,15,57,44,44,68,37
25,12,13,57,13,42,46,97,70,76
80,43,42,88,95,77,82,50,58,96
4,69,4,89,60,19,20,99,51,25
11,21,73,88,66,53,4,51,60,91
72,90,82,23,84,67,69,93,91,76
75,17,89,83,81,60,97,11,87,62
30,38,35,70,99,54,0,21,34,63
0,54,76,36,15,91,65,42,75,41
58,81,0,39,36,10,3,6,30,49
98,38,93,55,90,61,57,36,19,89
57,39,78,9,59,8,61,36,32,70
97,26,42,11,68,42,17,19,49,54
76,63,44,19,72,85,22,29,57,85
68,23,31,65,23,63,92,37,84,59
88,97,93,69,28,21,47,77,91,2
43,9,69,84,99,98,68,98,68,45
13,52,82,88,65,44,23,44,38,77
23,78,16,49,5,47,72,91,91,81
58,69,13,96,70,71,8,19,41,50
6,25,22,25,73,99,90,25,55,36
99,60,32,88,92,3,57,87,76,3
27,95,79,48,70,90,14,70,13,58
54,38,7,84,18,58,37,35,93,45
65,51,89,75,91,80,96,43,68,47
63,34,42,13,13,33,33,13,96,79
53,73,64,27,20,32,86,79,77,15
29,32,22,39,27,93,7,36,32,15
78,91,65,50,37,56,60,69,24,35
68,16,28,40,3,60,87,34,14,38
92,61,54,93,37,5,86,18,54,9
65,66,35,85,12,96,44,43,65,4
90,57,38,21,97,62,30,4,51,56
87,84,79,56,74,0,61,5,74,6
63,9,91,32,99,16,25,29,28,39
18,81,67,19,88,3,30,93,58,77
88,79,75,46,49,67,33,31,3,76
28,27,55,39,43,62,4,25,10,4
26,82,71,92,1,11,85,52,62,79
98,79,72,81,27,81,42,33,40,15
19,34,14,88,38,22,81,92,20,87
52,24,55,16,75,87,58,99,26,61
73,77,77,91,93,24,48,14,81,1
57,59,60,4,95,88,84,56,13,16
53,47,38,45,47,86,41,53,80,25
64,31,39,22,40,88,82,72,49,29
24,68,34,96,7,42,65,53,8,30
61,71,16,38,27,43,40,97,34,99
44,52,49,25,35,71,47,22,23,61
83,95,22,90,34,37,77,86,45,51
16,24,66,53,32,31,26,87,96,94
42,14,35,64,37,96,62,70,17,34
15,86,31,52,70,68,8,99,96,42
12,97,87,5,37,40,34,67,35,5
37,0,57,99,98,30,90,82,27,89
90,6,34,45,39,15,31,34,6,83
20,22,6,48,89,5,19,19,45,60
64,15,32,54,28,8,99,36,20,81
15,57,21,92,1,69,45,67,45,94
86,36,84,79,64,47,97,16,66,72
70,9,84,5,57,22,55,49,17,2
9,57,58,1,90,20,81,40,92,17
47,28,12,62,26,91,95,74,56,72
72,93,63,68,7,78,37,70,60,47
89,63,92,69,46,71,82,22,94,10
14,60,17,19,27,46,66,92,71,35
64,12,46,69,97,65,41,40,17,67
15,93,81,54,49,75,66,97,18,44
9,51,27,68,48,67,3,86,42,61
21,28,72,75,34,77,77,7,94,7
70,99,41,92,49,57,90,53,40,76
63,27,26,78,47,33,25,95,43,73
70,64,77,57,99,45,65,51,9,17
27,90,70,54,36,13,70,11,93,32
0,31,98,26,27,93,60,85,38,44
90,14,75,76,7,75,3,84,57,50
32,97,11,31,95,94,3,41,70,43
89,42,24,88,13,34,67,84,73,4
15,93,52,60,60,93,12,25,40,12
21,25,83,28,97,86,24,99,37,44
70,5,13,78,2,27,0,4,81,21
10,68,49,65,62,2,19,74,31,84
26,52,86,46,36,48,43,83,87,27
56,68,73,37,9,68,91,74,44,61
40,19,80,65,17,69,83,41,40,65
42,86,38,2,68,37,85,82,41,38
66,54,19,98,45,75,7,64,39,36
13,96,69,70,89,1,20,18,83,44
84,20,61,96,29,17,93,8,96,6
44,90,5,69,0,8,31,77,36,49
29,12,6,7,86,40,70,56,42,32
69,38,36,24,46,3,33,26,76,45
55,19,68,61,16,46,12,92,33,69
18,59,81,5,1,29,49,32,11,0
43,58,61,47,85,24,72,29,74,82
96,2,16,51,73,12,80,44,17,11
41,57,22,79,76,68,8,2,37,80
85,18,93,21,43,21,82,35,14,99
34,51,24,63,4,57,70,72,44,49
27,20,68,96,37,39,45,43,90,19
56,0,23,17,31,99,97,70,71,61
46,89,0,95,81,29,75,85,49,99
16,12,51,84,99,5,81,45,86,66
88,86,13,90,30,28,97,33,14,10
93,60,64,11,4,29,61,92,15,32
77,7,13,21,48,60,88,52,88,47
6,78,58,65,17,69,6,92,69,61
19,60,71,13,80,66,89,54,41,23
16,37,70,83,56,46,18,75,58,16
97,51,47,1,50,12,25,60,80,3
38,95,10,29,42,64,63,24,99,49
88,4,21,74,62,94,71,34,25,82
13,27,12,31,53,14,76,80,90,32
80,74,89,14,13,5,8,2,79,65
76,96,90,18,37,31,74,26,63,80
66,85,61,77,17,51,41,65,16,52
55,21,14,68,97,16,12,86,24,10
37,99,82,40,50,86,42,62,62,41
42,11,8,20,24,2,28,52,48,58
37,32,68,10,82,68,2,4,52,32
53,87,92,53,44,13,6,82,70,54
62,22,44,20,77,25,56,51,53,10
74,37,20,34,99,80,37,21,19,30
45,80,42,64,93,31,75,72,23,10
84,24,10,83,13,21,39,93,30,17
55,71,52,72,15,45,26,88,1,38
91,75,85,84,93,53,30,52,57,47
97,17,25,37,39,15,13,23,40,96
23,45,36,82,12,16,1,70,50,89
6,79,6,11,84,80,65,41,61,23
11,15,81,6,34,98,69,98,94,50
91,80,70,24,73,14,75,29,29,85
57,79,17,6,18,41,85,80,86,17
98,89,43,50,29,99,58,28,75,42
91,88,55,37,71,84,99,56,71,80
77,73,99,93,76,86,46,18,26,71
71,17,98,58,71,18,89,16,83,62
87,22,38,29,47,35,2,72,81,13
56,41,80,14,31,87,70,79,40,87
88,71,72,43,73,59,68,12,19,29
29,46,53,56,13,16,16,51,63,3
33,9,74,37,79,56,21,66,24,36
34,43,96,30,72,55,15,3,16,72
7,32,64,2,86,11,56,53,78,39
52,58,70,16,89,41,42,68,81,63
27,74,66,0,83,14,46,56,26,91
6,77,81,79,33,80,99,8,28,31
25,80,49,55,88,36,35,54,88,48
95,17,97,67,18,36,54,1,76,2
51,73,37,92,13,61,15,64,55,31
43,11,32,3,91,47,82,41,89,26
7,12,33,75,84,18,41,58,19,99
9,24,93,10,55,59,87,97,13,27
45,8,41,3,44,51,78,80,21,41
19,78,65,91,39,53,92,40,58,1
37,17,26,43,71,2,80,5,67,75
23,86,83,34,76,58,32,57,37,92
69,47,60,98,39,20,59,37,53,68
77,36,52,26,36,66,75,2,79,23
51,47,41,4,13,47,4,52,17,64
93,9,80,57,12,62,51,64,87,70
23,72,66,65,37,41,12,45,44,80
10,22,10,57,53,75,19,25,85,23
32,7,71,71,70,85,30,76,69,59
62,24,76,82,79,22,59,73,44,23
7,12,69,50,5,76,39,79,46,22
82,9,62,7,99,84,96,80,86,43
47,45,15,36,10,99,21,72,94,14
85,71,95,31,74,56,90,17,1,85
83,31,92,77,1,10,2,64,88,6
80,27,58,13,95,37,47,44,50,90
26,68,93,41,14,65,45,66,30,80
55,72,90,40,55,17,94,58,71,33
68,18,80,96,65,22,19,68,92,76
76,63,0,85,91,9,12,92,39,76
20,76,93,21,52,10,24,14,15,64
47,49,16,80,61,83,85,55,78,83
43,25,77,52,31,3,64,9,62,36
92,63,7,16,2,7,78,80,66,8
7,60,82,28,97,79,26,88,21,60
75,6,29,14,6,27,92,40,18,68
45,25,75,83,75,47,44,52,95,60
28,76,57,16,39,71,97,71,0,48
92,13,6,40,0,47,77,76,78,34
39,78,18,74,33,48,75,99,31,87
77,26,24,10,31,90,24,73,99,27
28,52,88,83,66,52,98,37,23,57
13,4,88,23,73,40,39,99,90,92
52,74,21,96,0,16,10,7,22,9
87,51,10,64,9,79,27,46,68,89
46,94,45,91,38,41,22,1,95,55
46,47,91,79,92,80,49,19,31,11
64,60,7,48,86,30,80,46,56,79
13,63,10,98,71,81,48,76,30,92
73,88,61,97,50,88,8,14,56,32
29,77,22,82,81,10,80,72,41,97
74,83,66,41,52,72,5,84,61,57
59,64,46,33,50,71,73,19,70,31
80,26,86,54,78,17,16,96,25,10
86,33,78,39,98,50,35,6,73,8
80,33,14,11,62,87,26,78,77,72
26,28,38,83,75,90,51,96,40,34
40,26,96,80,59,57,75,90,41,23
39,41,81,74,0,44,79,97,56,23
99,99,76,88,89,74,33,32,77,63
68,22,10,40,68,67,38,86,65,43
0,30,98,31,69,77,1,88,6,54
11,80,2,47,92,29,73,74,17,98
82,22,34,87,75,32,63,82,21,89
7,6,74,25,72,57,26,11,47,62
92,75,12,24,20,17,74,2,10,53
58,68,73,1,8,18,60,59,29,70
39,41,42,28,82,59,18,94,93,39
8,39,62,5,92,43,32,88,28,35
34,98,2,4,40,44,41,32,62,74
43,45,89,88,30,11,46,75,21,45
40,2,51,77,2,60,43,70,28,29
54,44,31,58,8,1,43,68,88,27
27,5,49,25,64,16,28,12,70,51
16,64,18,87,89,2,37,55,45,63
17,97,34,89,95,77,32,8,94,18
20,65,17,35,74,59,1,46,74,63
77,67,82,66,51,76,56,99,12,33
24,97,94,32,42,84,26,96,71,89
95,34,22,59,90,42,27,66,79,88
97,42,76,52,64,25,0,43,80,64
45,34,50,98,28,60,37,95,81,85
54,22,50,61,63,28,72,46,58,79
21,79,17,71,55,36,87,50,39,14
83,12,50,62,25,42,47,62,78,82
54,47,3,78,5,60,72,7,21,51
81,42,43,50,73,69,83,74,30,57
57,44,99,7,1,54,11,14,29,58
36,44,68,33,60,43,40,2,29,39
11,27,14,84,50,44,24,5,79,62
85,35,60,63,7,98,55,20,22,25
64,79,90,68,21,63,59,58,81,73
31,80,53,91,26,68,32,77,95,35
21,58,99,82,67,37,40,24,34,44
55,12,83,47,71,17,94,14,37,27
25,96,27,84,45,60,73,40,46,46
96,13,55,59,53,67,79,70,6,86
59,51,30,6,41,62,53,70,50,88
25,83,50,49,84,48,75,72,92,63
4,79,73,96,98,44,42,23,25,99
25,39,54,41,71,20,78,10,7,17
20,63,22,36,35,90,49,16,44,5
87,24,26,37,76,34,97,12,24,12
97,16,64,65,10,52,47,48,11,65
99,51,48,24,6,9,86,59,81,0
37,61,25,83,37,64,50,11,16,51
98,51,63,93,79,16,57,22,81,31
95,15,65,89,52,57,37,52,22,26
32,82,84,90,70,88,71,66,38,33
57,49,11,97,75,5,60,60,68,78
43,21,68,77,60,13,29,97,6,7
54,13,88,78,63,58,29,85,41,74
45,46,41,59,36,47,8,90,95,23
76,54,47,86,21,72,4,91,40,44
73,17,90,55,74,52,54,68,70,17
93,24,40,15,69,96,0,44,87,5
61,29,41,9,35,64,74,31,94,13
67,7,46,66,69,8,12,42,71,6
17,25,85,18,60,99,22,16,20,32
43,18,96,82,44,9,11,12,97,40
51,1,31,52,0,60,78,93,23,20
24,96,35,74,23,37,8,83,67,90
71,54,9,96,92,43,82,49,1,5
45,56,95,41,59,54,95,23,65,64
3,4,56,84,13,27,18,47,20,80
90,31,16,91,42,82,54,95,86,21
24,38,82,11,75,29,82,3,83,93
48,29,7,83,9,77,46,33,96,78
56,57,44,2,95,7,55,96,27,42
36,66,21,46,30,58,18,4,89,87
64,1,60,57,27,5,21,18,59,41
75,83,49,67,13,88,68,4,90,46
11,35,36,3,74,46,2,92,42,15
51,81,56,40,87,91,49,28,18,9
25,49,37,95,86,36,25,15,33,65
40,35,19,78,5,43,89,56,42,41
61,5,93,10,93,46,57,34,69,67
53,14,79,12,31,80,34,23,68,87
95,14,75,91,49,89,44,98,45,12
54,6,45,38,76,0,83,72,29,66
67,60,92,33,4,27,16,43,17,97
48,87,59,45,44,45,98,58,6,71
91,32,4,55,81,25,58,76,97,96
94,22,98,79,92,61,54,76,57,24
57,59,90,53,84,97,36,55,60,48
34,27,46,97,93,90,10,79,12,93
74,33,96,3,22,1,65,80,74,29
61,9,63,58,53,84,63,52,32,37
47,63,40,42,49,92,55,59,71,51
10,73,78,27,54,64,85,85,82,33
66,86,45,33,33,87,32,94,18,28
23,6,0,17,29,62,85,49,81,10
68,15,39,14,29,69,17,79,71,23
15,43,16,47,66,10,14,59,72,36
1,13,28,32,13,95,80,27,47,31
41,43,46,85,18,37,93,82,57,6
52,47,46,90,81,68,4,37,83,99
17,75,19,1,65,79,15,83,81,47
42,81,82,43,88,76,85,33,48,42
59,9,72,49,24,74,29,77,50,53
69,41,58,52,37,17,68,53,87,86
85,72,54,70,21,93,15,93,70,18
66,94,27,18,26,70,91,83,45,19
11,49,71,29,95,3,41,29,69,40
9,66,92,41,80,29,83,24,84,75
97,10,86,11,19,96,42,50,5,37
52,18,13,82,89,96,85,57,36,42
35,74,44,13,52,19,79,55,81,40
17,51,16,71,17,75,42,94,94,67
81,48,82,51,53,4,31,85,27,84
54,64,76,14,47,56,23,18,14,41
42,97,4,4,14,37,62,88,55,39
93,1,19,77,63,78,19,40,40,70
18,68,16,2,0,5,19,24,26,24
28,64,89,83,15,95,29,71,31,83
87,60,29,68,83,83,54,69,8,63
70,41,72,66,22,11,25,29,88,53
70,75,50,75,11,99,73,65,13,86
55,11,45,70,91,79,17,52,23,82
87,28,83,80,58,22,85,20,65,98
84,93,6,30,61,1,15,45,1,70
60,37,48,11,81,98,24,23,30,14
49,93,8,30,73,89,80,51,18,23
15,49,86,17,27,7,13,6,15,10
12,81,63,70,12,14,6,28,60,34
17,67,93,32,67,79,64,92,44,5
27,54,0,90,18,79,54,73,54,20
45,78,83,62,46,39,21,45,17,96
73,96,86,41,37,94,52,99,8,21
83,2,40,18,0,1,82,82,84,70
77,25,74,6,88,24,85,45,81,32
48,86,48,67,61,39,23,7,74,86
78,39,14,76,5,23,91,58,8,35
69,56,49,12,80,61,66,97,77,20
73,81,63,42,64,78,78,70,68,3
47,34,59,76,72,53,2,97,85,76
28,5,12,14,23,89,73,24,21,0
7,47,79,61,33,61,93,31,12,46
65,61,87,80,44,41,74,1,56,28
61,81,88,58,11,67,41,64,39,87
74,3,35,13,63,49,93,78,73,96
3,97,72,40,32,93,5,90,34,19
34,84,86,49,44,23,10,49,56,30
68,39,38,95,37,7,37,70,60,71
26,43,83,85,50,60,75,73,60,55
47,2,12,67,12,2,25,25,40,14
36,70,21,47,82,3,30,81,5,10
76,79,97,88,10,49,17,33,67,74
8,1,12,79,18,62,93,71,24,97
61,47,25,46,74,92,76,89,57,62
60,23,87,45,94,23,51,64,95,74
72,7,72,47,94,0,17,45,72,87
34,50,25,36,62,48,9,31,97,55
26,51,21,70,49,54,42,24,42,61
66,41,5,91,70,4,89,18,54,83
75,55,61,10,96,56,5,69,15,61
82,25,84,0,83,66,47,98,94,95
13,3,79,56,65,64,62,6,31,2
15,97,79,76,79,94,26,55,12,72
69,26,80,33,26,89,25,91,18,88
65,35,24,36,9,25,81,41,95,42
25,2,39,5,20,95,11,25,65,82
0,66,0,35,99,51,28,63,48,99
16,14,41,40,92,65,76,75,50,16
9,45,48,42,12,41,52,54,4,87
18,82,80,13,79,0,74,51,86,21
23,3,7,7,51,38,99,57,3,43
40,30,86,64,78,40,57,59,46,29
17,55,76,79,57,73,19,31,70,12
27,3,41,31,65,4,48,82,70,75
91,57,53,7,46,81,88,36,93,72
10,91,3,28,42,69,78,1,8,25
9,98,27,13,85,66,51,74,3,6
98,93,85,76,89,45,45,81,33,94
50,70,42,19,90,41,84,88,30,51
89,24,16,13,85,95,4,6,70,76
71,98,95,9,61,17,45,90,79,95
62,27,23,93,82,13,78,58,73,55
70,12,20,7,2,41,17,61,20,94
76,80,31,51,13,75,6,22,74,48
66,30,44,80,10,20,31,76,86,53
5,64,36,35,42,84,78,71,22,40
7,37,0,39,9,91,84,83,66,37
78,94,8,80,22,25,84,22,39,87
78,38,92,94,78,87,59,61,33,74
97,15,33,77,38,11,65,7,18,35
39,65,99,48,92,54,92,68,37,63
96,37,4,51,58,38,40,61,50,73
98,93,33,30,77,28,2,70,44,32
55,35,72,94,64,31,99,38,29,33
28,68,84,80,19,19,88,84,82,67
92,18,81,80,60,69,32,48,36,51
32,71,17,6,83,73,8,36,9,54
72,39,7,21,8,52,88,44,27,91
90,63,28,85,29,66,45,73,64,22
62,45,38,70,87,25,81,16,89,87
43,77,28,78,23,91,22,6,78,39
2,3,53,80,33,16,95,31,96,44
3,31,32,17,16,31,46,20,57,87
43,18,41,21,3,86,25,18,18,0
20,32,85,25,75,85,69,93,69,28
36,31,95,98,20,24,52,18,14,97
0,27,70,36,92,38,11,1,19,63
80,34,13,91,80,54,90,47,95,14
39,66,99,26,2,12,82,37,26,67
47,10,50,53,1,85,97,26,49,96
62,0,40,77,23,2,98,75,92,41
45,21,74,85,57,16,17,49,88,91
73,42,75,11,16,12,83,75,67,56
77,99,23,67,7,47,29,91,59,98
